query,response
tell me about atorvastatin,"{'query': 'tell me about atorvastatin', 'answer': 'Atorvastatin [1, 2] is a drug [1, 2] used as an anticholesteremic and hypolipidemic agent [3].  It reduces serum levels of LDL cholesterol, apolipoprotein B, and triglycerides, while increasing serum levels of HDL cholesterol. It is used in the treatment of hyperlipidemias, and for the prevention of cardiovascular diseases. Some trade names for atorvastatin include Lipitor and Sortis [4]. Chemically, it is a pyrrole and heptanoic acid derivative [5]. Other identifiers include:\n\n*   PharmGKB ID: PA448500 [2]\n*   PubChem Compound ID: 60823 [4]\n*   ChEBI ID: CHEBI:2910, CHEBI:39548 [4]\n*   DrugBank ID: DB01076 [4]\n*   ChEMBL ID: CHEMBL1487 [4]\n*   National Drug File Reference Terminology Code: N0000022046 [4]\n*   Canadian Drugs Product Database Drug ID Number: 02243097 [4]', 'debug': '\n{\n    ""bio/D000069059"": [],\n    ""chem/CID60823"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'name', 'linkedType': ''}, {'refNum': 2, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'name', 'linkedType': ''}, {'refNum': 3, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'scopeNote', 'linkedType': ''}, {'refNum': 4, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'synonyms', 'linkedType': ''}, {'refNum': 5, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'specializationOf', 'linkedType': ''}]}",11.560312747955322
What genes are associated with Alzheimer's disease?,"{'query': ""What genes are associated with Alzheimer's disease?"", 'answer': ""alzheimer's disease: ICD10/G30, bio/DOID_10652"", 'debug': ''}",33.705178022384644
Which genetic variants are associated with APOE?,"{'query': 'Which genetic variants are associated with APOE?', 'answer': 'apoe: bio/APOE, bio/ncbi_100023758, bio/ncbi_100009337', 'debug': ''}",276.4216229915619
What are genetic variants with the gene symbol KIF6 that are associated with atorvastatin,"{'query': 'What are genetic variants with the gene symbol KIF6 that are associated with atorvastatin', 'answer': 'kif6: bio/ncbi_100075581, bio/KIF6, bio/ncbi_100029793', 'debug': ''}",175.42090797424316
What can you tell me about atorvastatin,"{'query': 'What can you tell me about atorvastatin', 'answer': ""Atorvastatin [1, 2] is a drug [1] used to reduce serum levels of LDL cholesterol, apolipoprotein B, and triglycerides, and increase HDL cholesterol. It's used to treat hyperlipidemias and prevent cardiovascular diseases in patients with multiple risk factors [2].  Some trade names for it include Lipitor, Atogal, and Sortis [1].\n\nAtorvastatin calcium [1] is classified as a pyrrole and heptanoic acid derivative [2], HMG-CoA reductase inhibitor (statin) [2], anticholesteremic agent [2], antimetabolite [2], enzyme inhibitor [2], and lipid regulating agent [2].\n\nSome related chemical identifiers include:\n\n*   ChEBI ID: CHEBI:2910 [1], CHEBI:39548 [3]\n*   ChemSpider ID: 54810 [1]\n*   ChEMBL ID: CHEMBL1487 [3]\n*   DrugBank ID: DB01076 [1]\n*   KEGG Compound ID: C06834 [1]\n*   PubChem Compound ID: 60823 [1]\n*   PubChem Substance ID: 205162 [1], 46506188 [1]\n*   National Drug File Reference Terminology Code: N0000022046 [1]\n*   RxConcept Unique ID: 83367 [1]\n\nAtorvastatin has 54 clinical annotations [1] and 280 genetic variant annotations [1]. It has a top clinical annotation level of 1A [1] and a top CPIC level of A [1]. There are 3 very important pharmacogenes associated with this drug [1]."", 'debug': '\n{\n    ""bio/D000069059"": [],\n    ""chem/CID60823"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'name', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'name', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'drugTradeName', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'scopeNote', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'drugGenericName', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'specializationOf', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'mechanismOfAction', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'chebiID', 'linkedType': ''}, {'refNum': 3, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'provenance', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'chemSpiderID', 'linkedType': ''}, {'refNum': 3, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'chemblID', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'drugBankID', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'keggCompoundID', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'pubChemCompoundID', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'pubChemSubstanceID', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'nationalDrugFileReferenceTerminologyCode', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'rxConceptUniqueId', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'clinicalAnnotationCount', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'geneticVariantAnnotationCount', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'topClinicalAnnotationLevel', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'topCpicLevel', 'linkedType': ''}, {'refNum': 1, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'veryImportantPharmacogeneCount', 'linkedType': ''}]}",20.377639055252075
What diseases are associated with the genetic variants associated with atorvastatin,"{'query': 'What diseases are associated with the genetic variants associated with atorvastatin', 'answer': 'atorvastatin: bio/D000069059, chem/CID60823', 'debug': ''}",44.71898102760315
What is the description of atorvastatin?,"{'query': 'What is the description of atorvastatin?', 'answer': 'Atorvastatin [1, 2] is an anticholesteremic agent, hypolipidemic agent, antimetabolite, enzyme inhibitor and lipid regulating agent [1].  It is used to reduce serum levels of LDL-CHOLESTEROL; APOLIPOPROTEIN B; and TRIGLYCERIDES, increase serum levels of HDL-CHOLESTEROL in the treatment of HYPERLIPIDEMIAS, and for the prevention of CARDIOVASCULAR DISEASES [1].\n\nOther names for atorvastatin include:\n* Lipitor [2]\n* Atogal [2]\n* Atorpic [2]\n* Cardyl [2]\n* Faboxim [2]\n* Hipolixan [2]\n* Lipotropic [2]\n* Lipovastatinklonal [2]\n* Liprimar [2]\n* Lowden [2]\n* Normalip [2]\n* Sincol [2]\n* Sortis [2]\n* Sotis [2]\n* Torvacard [2]\n* Torvast [2]\n* Totalip [2]\n* Tozalip [2]\n* Tulip [2]\n* Vastina [2]\n* Xanator [2]\n* Xarator [2]\n* Xavator [2]\n* Zurinel [2]', 'debug': '\n{\n    ""bio/D000069059"": [],\n    ""chem/CID60823"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'scopeNote', 'linkedType': ''}, {'refNum': 2, 'source': 'chem/CID60823', 'isOutgoing': True, 'prop': 'drugTradeName', 'linkedType': ''}, {'refNum': 1, 'source': 'bio/D000069059', 'isOutgoing': True, 'prop': 'mechanismOfAction', 'linkedType': ''}]}",10.207756042480469
What is the mechanism of action of atorvastatin,"{'query': 'What is the mechanism of action of atorvastatin', 'answer': 'atorvastatin: bio/D000069059, chem/CID60823', 'debug': ''}",41.741644859313965
What genetic variants are associated with premature birth?,"{'query': 'What genetic variants are associated with premature birth?', 'answer': 'premature birth: bio/D047928', 'debug': ''}",26.69032597541809
How many species are there of Chlamydiamicrovirus?,"{'query': 'How many species are there of Chlamydiamicrovirus?', 'answer': 'Chlamydiamicrovirus has five specializations [1].  Chlamydiamicrovirus is a genus [2] of bacteriophages [3].\n\n*   **Chlamydiamicrovirus Chp1**\n*   **Chlamydiamicrovirus Chp2**\n*   **Chlamydiamicrovirus CPAR39**\n*   **Chlamydiamicrovirus CPG1**\n*   **Unclassified Chlamydiamicrovirus**', 'debug': '\n{\n    ""bio/Chlamydiamicrovirus"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/Chlamydiamicrovirus', 'isOutgoing': False, 'prop': 'specializationOf', 'linkedType': 'Taxon'}, {'refNum': 2, 'source': 'bio/Chlamydiamicrovirus', 'isOutgoing': True, 'prop': 'taxonRank', 'linkedType': ''}, {'refNum': 3, 'source': 'bio/Chlamydiamicrovirus', 'isOutgoing': True, 'prop': 'taxonDivision', 'linkedType': ''}]}",5.998414039611816
